Time Type Lambda Xn Yn Zn Xs Ys Zs 
0.0100 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -0.638
0.0200 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -2.445
0.0300 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -5.274
0.0400 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -8.998
0.0500 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -13.506
0.0600 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -18.700
0.0700 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -24.493
0.0800 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -30.812
0.0900 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -37.590
0.1000 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -44.770
0.1100 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -51.981
0.1200 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -58.438
0.1300 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -63.707
0.1400 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -68.059
0.1500 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -71.926
0.1600 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -75.464
0.1700 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -78.608
0.1800 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -81.305
0.1900 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -83.617
0.2000 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -85.641
0.2100 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -87.437
0.2200 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -89.020
0.2300 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -90.398
0.2400 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -91.596
0.2500 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -92.642
0.2600 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -93.562
0.2700 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -94.368
0.2800 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -95.074
0.2900 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -95.689
0.3000 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -96.227
0.3100 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -96.699
0.3200 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -97.112
0.3300 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -97.473
0.3400 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -97.789
0.3500 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -98.065
0.3600 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -98.307
0.3700 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -98.519
0.3800 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -98.704
0.3900 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -98.866
0.4000 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.008
0.4100 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.132
0.4200 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.241
0.4300 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.336
0.4400 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.419
0.4500 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.491
0.4600 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.555
0.4700 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.611
0.4800 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.659
0.4900 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.702
0.5000 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.739
0.5100 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.772
0.5200 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.800
0.5300 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.825
0.5400 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.847
0.5500 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.866
0.5600 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.883
0.5700 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.898
0.5800 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.911
0.5900 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.922
0.6000 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.932
0.6100 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.940
0.6200 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.948
0.6300 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.954
0.6400 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.960
0.6500 0 0.00000 0.000 0.000 -100.000 0.000 0.000 -99.965
